#Daily and Multi-day air quality monitoring data
#Measured data - All Data are GMT hour ending
#Data for year 2016
#"Multi-day data",,
#London Westminster,,
Start Date,End Date,As,Status / units,Cd,Status / units,Co,Status / units,Cr,Status / units,Cu,Status / units,Fe,Status / units,Hg[t],Status / units,Mn,Status / units,Ni,Status / units,Pb,Status / units,Se,Status / units,V,Status / units,Zn,Status / units,
#Start Date,End Date,As,Status / units,Cd,Status / units,Co,Status / units,Cr,Status / units,Cu,Status / units,Fe,Status / units,Hg[t],Status / units,Mn,Status / units,Ni,Status / units,Pb,Status / units,Se,Status / units,V,Status / units,Zn,Status / units,
01/01/2018,04/01/2018,,,,,,,,,,,,,1.537,V ngm-3,,,,,,,,,,,,,
01/01/2018,12/01/2018,0.872,V ngm-3,0.0961,V ngm-3,0.064,V ngm-3,2.7,V ngm-3,11.06,V ngm-3,368.2,V ngm-3,,,3.865,V ngm-3,0.638,V ngm-3,6.55,V ngm-3,0.4,V ngm-3,0.465,V ngm-3,15.34,V ngm-3,
04/01/2018,01/02/2018,,,,,,,,,,,,,2.857,V ngm-3,,,,,,,,,,,,,
12/01/2018,06/02/2018,0.743,V ngm-3,0.0997,V ngm-3,0.119,V ngm-3,4.2,V ngm-3,12.32,V ngm-3,505.6,V ngm-3,,,6.265,V ngm-3,0.806,V ngm-3,6.76,V ngm-3,0.33,V ngm-3,0.777,V ngm-3,18.34,V ngm-3,
01/02/2018,27/02/2018,,,,,,,,,,,,,2.96,V ngm-3,,,,,,,,,,,,,
06/02/2018,06/03/2018,0.84,V ngm-3,0.1423,V ngm-3,0.106,V ngm-3,2.3,V ngm-3,13.11,V ngm-3,453.3,V ngm-3,,,6.055,V ngm-3,0.795,V ngm-3,7.19,V ngm-3,0.53,V ngm-3,0.683,V ngm-3,23.97,V ngm-3,
27/02/2018,27/03/2018,,,,,,,,,,,,,3.449,V ngm-3,,,,,,,,,,,,,
06/03/2018,03/04/2018,0.658,V ngm-3,0.1647,V ngm-3,0.104,V ngm-3,2.3,V ngm-3,12.7,V ngm-3,447.6,V ngm-3,,,5.569,V ngm-3,0.751,V ngm-3,5.75,V ngm-3,0.29,V ngm-3,0.74,V ngm-3,19.37,V ngm-3,
27/03/2018,24/04/2018,,,,,,,,,,,,,2.161,V ngm-3,,,,,,,,,,,,,
